iter	Passed	Remaining
412	3067	34065
413	3079	34115
414	3093	34177
415	3107	34243
416	3115	34242
417	3123	34237
418	3138	34309
419	3150	34358
420	3156	34329
421	3175	34449
422	3187	34489
423	3198	34520
424	3206	34520
425	3216	34536
426	3228	34576
427	3236	34572
428	3247	34600
429	3256	34606
430	3269	34660
431	3276	34649
432	3284	34647
433	3297	34690
434	3310	34739
435	3316	34712
436	3325	34727
437	3333	34725
438	3343	34738
439	3353	34752
440	3359	34725
441	3371	34764
442	3379	34766
443	3386	34747
444	3397	34772
445	3407	34797
446	3414	34780
447	3421	34761
448	3429	34760
449	3435	34737
450	3441	34715
451	3447	34686
452	3453	34665
453	3460	34648
454	3462	34590
455	3472	34606
456	3484	34635
457	3490	34614
458	3497	34598
459	3506	34608
460	3512	34583
461	3518	34559
462	3525	34543
463	3538	34588
464	3544	34572
465	3556	34598
466	3558	34539
467	3571	34588
468	3582	34612
469	3594	34640
470	3599	34615
471	3610	34635
472	3616	34611
473	3625	34617
474	3632	34604
475	3644	34634
476	3652	34637
477	3660	34628
478	3672	34658
479	3675	34611
480	3681	34591
481	3692	34612
482	3703	34638
483	3715	34665
484	3717	34611
485	3721	34565
486	3732	34586
487	3735	34541
488	3738	34487
489	3744	34463
490	3754	34479
491	3760	34452
492	3765	34427
493	3774	34431
494	3780	34406
495	3785	34378
496	3794	34380
497	3800	34356
498	3811	34378
499	3821	34394
500	3823	34337
501	3835	34367
502	3841	34341
503	3851	34356
504	3857	34338
505	3860	34285
506	3870	34296
507	3876	34275
508	3884	34276
509	3887	34224
510	3897	34235
511	3899	34184
512	3911	34210
513	3913	34154
514	3927	34206
515	3933	34184
516	3940	34165
517	3950	34184
518	3958	34174
519	3960	34118
520	3973	34159
521	3986	34198
522	3995	34202
523	4008	34241
524	4011	34195
525	4014	34142
526	4022	34138
527	4033	34160
528	4046	34204
529	4062	34263
530	4071	34265
531	4088	34335
532	4097	34339
533	4107	34348
534	4122	34407
535	4129	34391
536	4142	34424
537	4145	34378
538	4158	34414
539	4172	34459
540	4180	34455
541	4188	34454
542	4201	34483
543	4213	34513
544	4228	34562
545	4236	34557
546	4249	34595
547	4263	34636
548	4273	34648
549	4283	34659
550	4293	34664
551	4302	34667
552	4304	34613
553	4307	34565
554	4315	34565
555	4321	34542
556	4327	34515
557	4336	34520
558	4342	34498
559	4357	34549
560	4360	34500
561	4369	34504
562	4379	34514
563	4392	34545
564	4401	34548
565	4410	34550
566	4416	34526
567	4420	34490
568	4428	34490
569	4438	34492
570	4443	34465
571	4452	34468
572	4458	34445
573	4467	34449
574	4476	34448
575	4485	34450
576	4494	34449
577	4503	34450
578	4511	34451
579	4521	34454
580	4529	34453
581	4536	34437
582	4565	34589
583	4572	34574
584	4580	34567
585	4590	34576
586	4601	34592
587	4629	34733
588	4642	34764
589	4662	34847
590	4684	34950
591	4714	35101
592	4760	35375
593	4770	35382
594	4778	35375
595	4810	35547
596	4817	35530
597	4823	35507
598	4832	35503
599	4838	35480
600	4843	35452
601	4852	35449
602	4861	35450
603	4867	35422
604	4876	35422
605	4884	35417
606	4893	35416
607	4905	35436
608	4916	35451
609	4918	35399
610	4924	35377
611	4931	35361
612	4942	35370
613	4951	35368
614	4961	35379
615	4979	35438
616	4983	35402
617	4987	35362
618	4994	35351
619	4996	35300
620	5003	35283
621	5010	35263
622	5021	35276
623	5032	35288
624	5034	35244
625	5043	35236
626	5047	35203
627	5059	35225
628	5067	35211
629	5073	35193
630	5080	35176
631	5082	35127
632	5085	35087
633	5092	35069
634	5101	35068
635	5107	35046
636	5114	35033
637	5117	34990
638	5127	34990
639	5136	34992
640	5142	34970
641	5152	34977
642	5158	34956
643	5169	34968
644	5176	34949
645	5178	34901
646	5184	34877
647	5186	34832
648	5191	34807
649	5200	34805
650	5206	34780
651	5215	34780
652	5224	34776
653	5233	34775
654	5241	34770
655	5250	34769
656	5262	34784
657	5264	34740
658	5273	34737
659	5280	34720
660	5289	34718
661	5295	34700
662	5305	34702
663	5316	34715
664	5324	34712
665	5334	34711
666	5339	34687
667	5345	34664
668	5350	34639
669	5356	34617
670	5365	34613
671	5375	34619
672	5380	34594
673	5389	34594
674	5398	34589
675	5407	34588
676	5416	34585
677	5425	34584
678	5435	34592
679	5446	34603
680	5456	34607
681	5463	34590
682	5473	34594
683	5479	34575
684	5488	34574
685	5498	34578
686	5507	34574
